id,price
0,6.003
1,8.444
2,9.233
3,7.818
4,8.961
5,8.112
6,7.041
7,7.041
8,6.369
9,6.782
10,9.472
11,7.382
12,8.515
13,8.274
14,6.481
15,7.243
16,7.802
17,6.327
18,9.189
19,9.154
20,6.776
21,8.963
22,9.411
23,6.753
24,9.248
25,7.315
26,7.155
27,9.662
28,8.285
29,8.531
30,6.93
31,8.493
32,8.369
33,6.134
34,9.682
35,8.549
36,9.14
37,7.659
38,9.544
39,9.652
40,9.158
41,8.445
42,7.142
43,8.426
44,7.383
45,6.34
46,6.225
47,9.471
48,8.891
49,8.681
50,7.491
51,7.051
52,7.804
53,7.792
54,7.007
55,6.774
56,8.953
57,9.415
58,6.744
59,7.007
60,7.42
61,8.469
62,6.784
63,7.864
64,8.043
65,7.503
66,9.247
67,7.91
68,7.715
69,8.033
70,9.507
71,6.65
72,6.588
73,7.945
74,6.411
75,6.678
76,6.788
77,9.048
78,6.757
79,7.507
80,7.905
81,6.597
82,8.248
83,6.864
84,8.298
85,6.352
86,7.37
87,6.945
88,7.916
89,8.322
90,6.406
91,8.441
92,7.249
93,6.546
94,9.25
95,8.033
96,6.632
97,8.105
98,6.751
99,6.515
100,8.688
101,6.635
102,6.78
103,9.319
104,9.451
105,8.331
106,8.413
107,8.092
108,6.534
109,6.58
110,7.498
111,8.716
112,9.684
113,6.365
114,7.471
115,6.325
116,8.983
117,7.637
118,6.909
119,8.369
120,7.43
121,6.414
122,7.92
123,8.32
124,8.4
125,7.674
126,6.165
127,8.401
128,8.76
129,8.348
130,8.363
131,6.715
132,7.928
133,6.341
134,6.793
135,9.341
136,7.955
137,7.556
138,8.161
139,7.436
140,8.463
141,7.48
142,8.749
143,7.039
144,6.553
145,8.753
146,9.642
147,7.042
148,6.83
149,7.545
150,6.8
151,8.717
152,7.931
153,7.548
154,7.65
155,7.749
156,6.202
157,9.024
158,6.201
159,6.718
160,8.22
161,6.352
162,7.839
163,6.492
164,7.097
165,6.825
166,8.362
167,8.018
168,6.29
169,8.212
170,7.533
171,8.379
172,8.723
173,8.459
174,8.54
175,7.148
176,6.116
177,6.474
178,7.615
179,6.832
180,8.532
181,6.748
182,7.018
183,7.416
184,8.804
185,7.189
186,6.605
187,8.52
188,6.054
189,6.17
190,6.061
191,8.603
192,7.781
193,8.058
194,9.678
195,9.039
196,8.261
197,6.233
198,7.534
199,8.582
200,8.799
201,6.458
202,6.185
203,8.878
204,8.338
205,6.726
206,8.135
207,6.549
208,6.245
209,9.632
210,8.55
211,9.232
212,8.428
213,6.716
214,8.141
215,6.913
216,6.894
217,7.714
218,7.426
219,6.42
220,6.558
221,7.306
222,8.224
223,7.504
224,6.197
225,9.003
226,6.418
227,7.919
228,6.112
229,9.759
230,8.367
231,8.724
232,6.554
233,8.857
234,8.492
235,8.635
236,6.273
237,9.526
238,9.256
239,9.724
240,6.694
241,7.063
242,7.088
243,7.848
244,9.17
245,6.477
246,8.302
