id,price
0,6.037
1,8.354
2,9.524
3,7.925
4,8.968
5,8.264
6,7.042
7,6.957
8,6.161
9,6.81
10,9.576
11,7.362
12,8.584
13,8.264
14,6.562
15,7.1
16,7.898
17,6.508
18,9.514
19,9.068
20,6.676
21,8.967
22,9.421
23,6.639
24,9.21
25,7.285
26,7.057
27,9.746
28,8.22
29,8.635
30,6.733
31,8.471
32,8.397
33,6.077
34,9.516
35,8.584
36,9.146
37,7.612
38,9.606
39,9.746
40,9.021
41,8.451
42,7.057
43,8.451
44,7.426
45,6.47
46,6.1
47,9.516
48,8.913
49,8.526
50,7.484
51,7.047
52,7.863
53,7.81
54,6.979
55,6.727
56,8.876
57,9.388
58,6.727
59,6.962
60,7.374
61,8.437
62,6.789
63,7.854
64,8.085
65,7.427
66,9.247
67,7.816
68,7.75
69,8.107
70,9.576
71,6.508
72,6.727
73,7.908
74,6.516
75,6.727
76,6.727
77,9.001
78,6.793
79,7.43
80,7.907
81,6.63
82,8.186
83,6.979
84,8.38
85,6.332
86,7.285
87,6.831
88,7.908
89,8.288
90,6.409
91,8.526
92,7.205
93,6.563
94,9.126
95,8.107
96,6.562
97,7.973
98,6.744
99,6.564
100,8.88
101,6.574
102,6.727
103,9.229
104,9.648
105,8.43
106,8.411
107,8.154
108,6.63
109,6.354
110,7.508
111,8.755
112,9.707
113,6.508
114,7.491
115,6.346
116,9.068
117,7.622
118,6.9
119,8.392
120,7.427
121,6.433
122,7.9
123,8.353
124,8.518
125,7.725
126,6.105
127,8.215
128,8.735
129,8.397
130,8.375
131,6.705
132,7.908
133,6.349
134,6.892
135,9.489
136,8.067
137,7.611
138,8.208
139,7.427
140,8.318
141,7.396
142,8.557
143,6.946
144,6.346
145,8.735
146,9.707
147,7.042
148,6.749
149,7.583
150,6.81
151,8.735
152,7.81
153,7.508
154,7.721
155,7.81
156,6.237
157,9.053
158,6.371
159,6.8
160,8.188
161,6.381
162,7.819
163,6.516
164,7.062
165,6.727
166,8.276
167,8.027
168,6.346
169,8.322
170,7.491
171,8.471
172,8.735
173,8.526
174,8.526
175,7.205
176,6.068
177,6.265
178,7.61
179,6.797
180,8.599
181,6.774
182,7.101
183,7.427
184,8.729
185,7.139
186,6.56
187,8.526
188,6.097
189,6.164
190,6.077
191,8.735
192,7.81
193,7.898
194,9.727
195,9.107
196,8.219
197,6.232
198,7.534
199,8.526
200,8.735
201,6.562
202,6.103
203,9.017
204,8.411
205,6.835
206,8.067
207,6.508
208,5.961
209,9.779
210,8.735
211,9.296
212,8.416
213,6.81
214,8.266
215,6.865
216,6.733
217,7.663
218,7.432
219,6.381
220,6.508
221,7.362
222,8.22
223,7.493
224,6.124
225,8.976
226,6.417
227,7.963
228,6.132
229,9.806
230,8.418
231,8.88
232,6.727
233,8.937
234,8.599
235,8.599
236,6.107
237,9.576
238,9.296
239,9.727
240,6.508
241,6.961
242,7.117
243,7.81
244,9.271
245,6.508
246,8.249
247,8.437
248,8.276
249,6.63
250,6.727
251,7.81
252,6.345
253,9.539
254,9.249
255,8.599
256,6.818
257,5.994
258,9.419
259,7.635
260,6.085
261,8.599
262,6.232
263,7.058
264,8.526
265,9.293
266,6.916
267,8.745
268,6.882
269,9.256
270,8.88
271,8.836
272,7.427
273,7.033
274,7.491
275,6.508
276,7.149
277,9.516
278,8.391
279,9.177
280,7.541
281,6.508
282,7.427
283,7.058
284,6.427
285,6.789
286,6.63
287,6.659
288,6.516
289,7.986
290,6.88
291,7.484
292,9.421
293,6.508
294,6.806
295,8.599
296,6.811
297,8.635
298,8.375
299,7.203
300,8.88
301,7.122
302,6.979
303,8.88
304,6.271
305,6.81
306,7.427
307,9.525
308,9.175
309,8.966
310,8.526
311,6.508
312,6.509
313,8.451
314,9.005
315,8.318
316,5.99
317,9.707
318,6.508
319,6.806
320,8.35
321,8.637
322,6.584
323,9.101
324,8.375
325,6.727
326,6.877
327,8.973
328,6.882
329,6.373
330,6.346
331,8.637
332,8.219
333,6.916
334,6.774
335,6.346
336,8.125
337,8.637
338,7.203
339,8.976
340,7.898
341,6.749
342,8.88
343,8.275
344,6.956
345,7.339
346,7.652
347,6.508
348,8.203
349,6.917
350,7.986
351,8.375
352,8.599
353,9.126
354,9.525
355,7.898
356,8.067
357,9.65
358,7.55
359,8.375
360,9.76
361,7.491
362,8.526
363,7.735
364,8.368
365,7.25
366,9.746
367,6.09
368,9.707
369,6.508
370,9.085
371,7.057
372,6.508
373,7.1
374,8.637
375,8.526
376,7.396
377,8.88
378,8.526
379,8.88
380,6.445
381,6.517
382,6.232
383,8.735
384,9.643
385,8.954
386,6.722
387,6.841
388,6.222
389,7.968
390,8.451
391,6.705
392,9.707
393,6.594
394,6.727
395,7.986
396,8.88
397,6.227
398,8.334
399,9.126
400,6.727
401,9.712
402,8.752
403,9.707
404,7.149
405,8.088
406,8.249
407,8.421
408,8.735
409,8.406
410,9.126
411,6.979
412,7.755
413,8.599
414,8.526
415,6.774
416,6.916
417,6.811
418,7.025
419,7.491
420,8.383
421,8.88
