id,price
0,6.108
1,8.354
2,9.524
3,7.9
4,8.946
5,8.298
6,7.03
7,6.978
8,6.161
9,6.816
10,9.563
11,7.377
12,8.477
13,8.228
14,6.635
15,7.128
16,7.898
17,6.434
18,9.514
19,9.053
20,6.794
21,8.912
22,9.387
23,6.666
24,9.27
25,7.208
26,7.057
27,9.726
28,8.22
29,8.65
30,6.805
31,8.417
32,8.406
33,6.092
34,9.516
35,8.477
36,9.103
37,7.621
38,9.462
39,9.726
40,9.021
41,8.419
42,7.057
43,8.419
44,7.441
45,6.404
46,6.197
47,9.516
48,8.911
49,8.548
50,7.495
51,7.047
52,7.768
53,7.784
54,6.992
55,6.756
56,8.901
57,9.462
58,6.756
59,6.911
60,7.374
61,8.458
62,6.824
63,7.799
64,8.085
65,7.444
66,9.253
67,7.77
68,7.75
69,8.093
70,9.563
71,6.54
72,6.686
73,7.925
74,6.572
75,6.756
76,6.686
77,9.001
78,6.799
79,7.422
80,7.902
81,6.55
82,8.698
83,6.926
84,8.363
85,6.382
86,7.208
87,6.852
88,7.925
89,8.203
90,6.363
91,8.475
92,7.329
93,6.353
94,9.238
95,8.093
96,6.492
97,8.045
98,6.701
99,6.574
100,8.919
101,6.562
102,6.686
103,9.299
104,9.445
105,8.43
106,8.415
107,8.057
108,6.665
109,6.418
110,7.538
111,8.729
112,9.715
113,6.547
114,7.455
115,6.257
116,9.075
117,7.564
118,6.907
119,8.364
120,7.444
121,6.475
122,7.91
123,8.098
124,8.534
125,7.716
126,6.105
127,8.436
128,8.724
129,8.406
130,8.382
131,6.735
132,7.925
133,6.343
134,6.799
135,9.501
136,8.045
137,7.588
138,8.208
139,7.444
140,8.319
141,7.444
142,8.579
143,6.967
144,6.385
145,8.724
146,9.715
147,7.03
148,6.795
149,7.544
150,6.816
151,8.724
152,7.863
153,7.538
154,7.661
155,7.784
156,6.262
157,9.058
158,6.288
159,6.813
160,8.19
161,6.318
162,7.819
163,6.572
164,7.071
165,6.686
166,8.294
167,7.895
168,6.385
169,8.3
170,7.455
171,8.417
172,8.724
173,8.548
174,8.548
175,7.329
176,6.041
177,6.323
178,7.662
179,6.895
180,8.576
181,6.793
182,7.154
183,7.444
184,8.694
185,7.211
186,6.56
187,8.548
188,6.097
189,6.164
190,6.092
191,8.724
192,7.784
193,8.01
194,9.701
195,9.081
196,8.27
197,6.24
198,7.508
199,8.548
200,8.724
201,6.635
202,6.048
203,8.949
204,8.415
205,6.896
206,8.045
207,6.434
208,6.254
209,9.65
210,8.724
211,9.303
212,8.35
213,6.772
214,8.107
215,6.971
216,6.805
217,7.663
218,7.463
219,6.4
220,6.547
221,7.377
222,8.22
223,7.495
224,6.296
225,9.045
226,6.393
227,7.967
228,6.153
229,9.818
230,8.379
231,8.828
232,6.756
233,8.937
234,8.576
235,8.647
236,6.231
237,9.563
238,9.303
239,9.753
240,6.547
241,6.956
242,7.152
243,7.784
244,9.271
245,6.434
246,8.246
247,8.458
248,8.229
249,6.665
250,6.756
251,7.784
252,6.316
253,9.49
254,9.263
255,8.647
256,6.818
257,6.122
258,9.624
259,7.564
260,6.085
261,8.647
262,6.165
263,7.131
264,8.548
265,9.293
266,6.967
267,8.755
268,6.982
269,9.234
270,8.828
271,8.865
272,7.444
273,7.033
274,7.455
275,6.547
276,7.149
277,9.516
278,8.398
279,9.259
280,7.422
281,6.547
282,7.444
283,7.131
284,6.498
285,6.824
286,6.665
287,6.694
288,6.45
289,7.958
290,6.88
291,7.495
292,9.387
293,6.547
294,6.787
295,8.647
296,6.809
297,8.65
298,8.382
299,7.158
300,8.919
301,7.136
302,6.933
